hotel
room
stay
great
staff
would
rooms
good
one
location
nice
stayed
us
clean
night
service
get
breakfast
time
also
like
friendly
bed
could
area
day
place
comfortable
small
really
well
back
bathroom
even
didnt
helpful
two
hotels
free
next
front_desk
lobby
got
go
little
first
right
around
much
walk
view
restaurant
nights
price
close
parking
city
dont
food
check
floor
people
door
excellent
made
everything
large
many
pool
bar
it
morning
way
never
best
beds
found
bit
went
definitely
better
street
restaurants
every
booked
away
trip
however
want
staying
always
business
experience
told
though
use
minutes
find
see
recommend
downtown
quite
need
noise
again
said
overall
another
lot
big
shower
enough
going
asked
wonderful
take
quiet
old
arrived
perfect
coffee
days
car
make
water
airport
desk
say
etc
wasnt
suite
called
think
still
nyc
took
new
work
tv
problem
although
long
checked
bad
outside
weekend
times
new_york
easy
rate
beautiful
spacious
left
know
since
pretty
family
th
thing
feel
visit
size
guests
sleep
available
needed
extremely
things
located
near
loved
building
come
wanted
fine
came
looking
side
early
hot
used
th_floor
shopping
park
property
internet
concierge
times_square
convenient
full
there
last
husband
enjoyed
able
nothing
several
pay
pm
looked
evening
extra
especially
open
couple
block
short
expensive
ok
amazing
call
seemed
lots
return
per
fantastic
dinner
modern
given
huge
high
lovely
reviews
worth
towels
home
elevator
put
shuttle
far
late
three
pleasant
charge
felt
thought
deal
ever
kids
reception
anything
corner
couldnt
top
gave
paid
something
without
blocks
hours
ask
expect
getting
second
part
front
sure
week
chicago
end
ive
help
checkin
within
try
hear
look
plenty
manager
nearby
im
town
youre
value
plus
housekeeping
may
give
less
space
actually
probably
walking
amenities
person
quality
in
different
offered
complimentary
wait
king
safe
money
center
distance
subway
walked
spent
window
wife
cant
included
everyone
love
places
decor
decent
hilton
choice
ready
kind
travel
happy
standard
someone
busy
noisy
eat
across_street
views
elevators
due
st
here
either
later
anyone
decided
least
id
thats
valet
friends
guest
walking_distance
quick
star
dirty
hour
needs
out
boston
reservation
offer
leave
lounge
buffet
expected
bedroom
pillows
worked
four
main
provided
wouldnt
loud
hard
working
luggage
line
book
inn
almost
let
within_walking
year
conference
must
issue
super
cost
returned
cold
marriott
problems
average
fact
disappointed
access
kept
might
reasonable
me
including
years
drinks
fun
enjoy
rather
san_francisco
special
ny
comfy
bathrooms
wifi
cool
yes
windows
bath
upgraded
absolutely
highly_recommend
phone
tiny
wall
cheap
spend
others
theres
tried
station
bus
coming
maybe
flight
finally
bags
certainly
else
shops
warm
checking
received
san_diego
liked
too
recently
entire
done
fresh
all
whole
instead
kitchen
upon
care
saw
real
dark
awesome
level
wine
light
keep
along
gym
w
club
making
heard
doors
seattle
double
carpet
requested
central
dining
isnt
order
union_square
set
customer_service
middle
name
number
past
waiting
touch
free_wifi
sink
booking
queen
slow
stop
westin
request
upgrade
neighborhood
furniture
across
prices
impressed
tell
point
website
cleaned
the
professional
drive
change
floors
chose
continental_breakfast
yet
complaint
fridge
trying
already
them
efficient
motel
tub
toilet
seems
charged
sheets
seem
makes
local
manhattan
smell
table
living
inside
spa
poor
starbucks
attractions
brought
half
closet
usually
ac
issues
bring
run
you
courteous
taxi
minute_walk
rude
management
walls
up
read
